customer_name,sentiment,csat_score,call_timestamp,reason,city,state,channel,response_time,call duration in minutes,call_center
Joshua Well,Negative,,10/13/2020,Billing Question,Tucson,Arizona,Call-Center,Below SLA,10,Los Angeles/CA
Sean Lernihan,Neutral,,10-04-2020,Service Outage,Anchorage,Alaska,Email,Within SLA,21,Los Angeles/CA
Bryanty Joinson,Positive,7,10-04-2020,Billing Question,Spring Hill,Florida,Call-Center,Below SLA,44,Denver/CO
Stafani MacPaik,Negative,4,10/21/2020,Billing Question,Oakland,California,Call-Center,Above SLA,43,Baltimore/MD
Bondy Fishbourne,Negative,,10/16/2020,Billing Question,Muncie,Indiana,Chatbot,Within SLA,16,Los Angeles/CA
Jessie Jeffrey,Negative,,10-04-2020,Service Outage,Montgomery,Alabama,Chatbot,Below SLA,17,Baltimore/MD
Jamey Andrusyak,Negative,,10/13/2020,Payments,Fort Wayne,Indiana,Call-Center,Within SLA,24,Los Angeles/CA
Zora Raylton,Very Negative,2,10/14/2020,Billing Question,Springfield,Virginia,Email,Within SLA,17,Baltimore/MD
Idaline Croal,Negative,,10/28/2020,Billing Question,Bismarck,North Dakota,Call-Center,Below SLA,27,Baltimore/MD
Agata Crenage,Negative,5,10-09-2020,Service Outage,Winston Salem,North Carolina,Web,Within SLA,6,Chicago/IL
Ange Macquire,Positive,,10/21/2020,Billing Question,Utica,New York,Call-Center,Within SLA,28,Baltimore/MD
Cora Snawdon,Neutral,7,10/18/2020,Billing Question,Albany,New York,Email,Within SLA,37,Los Angeles/CA
Chrystal GiacobbiniJacob,Neutral,,10-12-2020,Billing Question,Pittsburgh,Pennsylvania,Email,Within SLA,25,Los Angeles/CA
Simmonds Drummond,Very Negative,,10/30/2020,Billing Question,Salt Lake City,Utah,Email,Within SLA,16,Los Angeles/CA
Kassandra Vasyanin,Very Negative,3,10/25/2020,Billing Question,Hagerstown,Maryland,Call-Center,Within SLA,22,Denver/CO
Maribeth Lamball,Neutral,8,10-11-2020,Billing Question,Springfield,Illinois,Call-Center,Within SLA,43,Los Angeles/CA
Francis Quan,Negative,,10/16/2020,Billing Question,Arlington,Virginia,Web,Within SLA,13,Baltimore/MD
Alidia Saffran,Negative,,10-12-2020,Billing Question,Glendale,California,Email,Within SLA,45,Los Angeles/CA
Therine Ratray,Negative,,10/20/2020,Payments,Rockville,Maryland,Call-Center,Above SLA,34,Baltimore/MD
Michal Clementet,Neutral,7,10/22/2020,Payments,Philadelphia,Pennsylvania,Call-Center,Within SLA,21,Baltimore/MD
Beaufort Drennan,Neutral,,10-06-2020,Billing Question,Atlanta,Georgia,Chatbot,Within SLA,11,Baltimore/MD
Courtney Limbert,Negative,,10-10-2020,Payments,Roanoke,Virginia,Call-Center,Within SLA,45,Los Angeles/CA
Sondra Tristram,Neutral,,10-06-2020,Billing Question,Des Moines,Iowa,Web,Within SLA,22,Los Angeles/CA
Townsend Haslewood,Neutral,,10/23/2020,Billing Question,Wichita,Kansas,Call-Center,Within SLA,42,Los Angeles/CA
Roxanne Burl,Negative,,10-05-2020,Payments,Manchester,New Hampshire,Call-Center,Within SLA,32,Chicago/IL
Trey Parlot,Negative,6,10/19/2020,Billing Question,Charlotte,North Carolina,Chatbot,Within SLA,34,Baltimore/MD
Hadrian Hechlin,Very Negative,4,10/18/2020,Billing Question,Dallas,Texas,Call-Center,Within SLA,25,Baltimore/MD
Josee Sibary,Negative,3,10/15/2020,Billing Question,Chicago,Illinois,Call-Center,Above SLA,6,Denver/CO
Berna O' Gara,Positive,,10/18/2020,Billing Question,Warren,Ohio,Call-Center,Below SLA,10,Los Angeles/CA
Philippine Mucillo,Neutral,,10/20/2020,Billing Question,Reading,Pennsylvania,Web,Within SLA,23,Denver/CO
Errick Londors,Positive,,10/14/2020,Payments,Mesa,Arizona,Call-Center,Within SLA,29,Denver/CO
Stefan Soutter,Very Negative,,10/24/2020,Billing Question,Sacramento,California,Email,Above SLA,32,Baltimore/MD
Welbie Wais,Neutral,7,10/16/2020,Billing Question,Chandler,Arizona,Email,Below SLA,11,Chicago/IL
Halie Enright,Positive,7,10/20/2020,Billing Question,Norfolk,Virginia,Web,Below SLA,30,Baltimore/MD
Callida Simic,Neutral,5,10-12-2020,Billing Question,Omaha,Nebraska,Email,Within SLA,32,Baltimore/MD
Donnajean Carwardine,Neutral,,10/28/2020,Billing Question,Atlanta,Georgia,Web,Within SLA,5,Los Angeles/CA
Norah Forsey,Very Negative,,10/29/2020,Billing Question,Amarillo,Texas,Email,Within SLA,30,Los Angeles/CA
Ricky Aburrow,Neutral,7,10-06-2020,Billing Question,Huntsville,Alabama,Chatbot,Within SLA,27,Denver/CO
Curr Peterffy,Neutral,,10-01-2020,Billing Question,Lubbock,Texas,Email,Within SLA,10,Chicago/IL
Emilie Schwand,Neutral,,10/20/2020,Billing Question,London,Kentucky,Email,Above SLA,10,Los Angeles/CA
Parker Dmisek,Neutral,,10-04-2020,Billing Question,San Antonio,Texas,Web,Within SLA,14,Los Angeles/CA
Blaire Jolliman,Negative,6,10-03-2020,Billing Question,Dallas,Texas,Call-Center,Below SLA,16,Baltimore/MD
Rutter Demangeon,Neutral,,10-02-2020,Service Outage,Washington,District of Columbia,Chatbot,Within SLA,9,Los Angeles/CA
Sondra Barkworth,Very Negative,,10/25/2020,Billing Question,El Paso,Texas,Call-Center,Within SLA,44,Baltimore/MD
Cary Churchin,Negative,,10/13/2020,Payments,Odessa,Texas,Call-Center,Within SLA,38,Los Angeles/CA
Saloma Ridgeway,Positive,,10/19/2020,Billing Question,Albany,New York,Web,Within SLA,29,Chicago/IL
Christyna Griston,Neutral,8,10/26/2020,Service Outage,High Point,North Carolina,Web,Within SLA,23,Baltimore/MD
Rubetta Edyson,Very Positive,10,10-07-2020,Billing Question,Peoria,Illinois,Call-Center,Within SLA,36,Baltimore/MD
Anet Thorouggood,Very Positive,,10/30/2020,Billing Question,Houston,Texas,Call-Center,Within SLA,8,Los Angeles/CA
Julio MacGregor,Negative,3,10/24/2020,Payments,Pasadena,California,Call-Center,Within SLA,39,Baltimore/MD
Tris Fibbens,Very Positive,,10/22/2020,Billing Question,Waltham,Massachusetts,Chatbot,Within SLA,6,Baltimore/MD
Rana Malbon,Negative,,10/15/2020,Billing Question,Stockton,California,Chatbot,Within SLA,30,Los Angeles/CA
Louisa Soal,Very Negative,1,10-09-2020,Billing Question,Sacramento,California,Email,Within SLA,41,Los Angeles/CA
Enrica Jakov,Positive,,10/18/2020,Billing Question,Houston,Texas,Web,Below SLA,27,Baltimore/MD
Jannelle Arnaudet,Negative,,10-10-2020,Billing Question,Texarkana,Texas,Web,Below SLA,38,Los Angeles/CA
Evelina Yurenin,Negative,4,10/29/2020,Billing Question,Midland,Texas,Chatbot,Below SLA,35,Baltimore/MD
Agustin Lovell,Very Positive,10,10-10-2020,Billing Question,Jersey City,New Jersey,Web,Below SLA,30,Baltimore/MD
Kathi Gerriet,Neutral,,10-02-2020,Billing Question,Raleigh,North Carolina,Email,Above SLA,37,Chicago/IL
Greggory Lacoste,Very Negative,,10/16/2020,Billing Question,Greensboro,North Carolina,Chatbot,Below SLA,43,Baltimore/MD
Wyatan Whenham,Very Positive,10,10/24/2020,Billing Question,Arvada,Colorado,Call-Center,Within SLA,36,Baltimore/MD
Phyllida Pettigree,Negative,,10-04-2020,Payments,Louisville,Kentucky,Call-Center,Within SLA,33,Los Angeles/CA
Sophi Qusklay,Positive,,10-03-2020,Billing Question,Lynchburg,Virginia,Email,Within SLA,34,Los Angeles/CA
Othelia Whittles,Negative,3,10/30/2020,Billing Question,Staten Island,New York,Web,Within SLA,42,Chicago/IL
Andee Ayce,Negative,3,10/15/2020,Billing Question,El Paso,Texas,Email,Below SLA,44,Chicago/IL
Fred Canniffe,Very Positive,,10/16/2020,Billing Question,Billings,Montana,Email,Within SLA,15,Chicago/IL
Farica Bernollet,Very Negative,,10-02-2020,Payments,San Antonio,Texas,Call-Center,Above SLA,17,Chicago/IL
Elbertina Sollowaye,Very Negative,,10/17/2020,Billing Question,Spokane,Washington,Chatbot,Within SLA,37,Baltimore/MD
Megen Peerless,Neutral,,10-04-2020,Service Outage,Phoenix,Arizona,Chatbot,Below SLA,35,Chicago/IL
Alejandrina Caffrey,Positive,7,10/15/2020,Billing Question,San Diego,California,Call-Center,Within SLA,27,Baltimore/MD
Zia Straker,Negative,,10/29/2020,Billing Question,San Antonio,Texas,Chatbot,Within SLA,39,Chicago/IL
Symon Ferentz,Neutral,7,10/29/2020,Billing Question,San Jose,California,Web,Below SLA,39,Los Angeles/CA
Verna Zettoi,Positive,,10/29/2020,Billing Question,Fort Worth,Texas,Email,Within SLA,10,Chicago/IL
Melva Spragge,Neutral,,10-09-2020,Billing Question,New York City,New York,Web,Within SLA,42,Los Angeles/CA
Mara Rumsey,Very Negative,4,10/21/2020,Billing Question,Minneapolis,Minnesota,Email,Within SLA,15,Los Angeles/CA
Cathrine Ibbitt,Positive,,10-05-2020,Billing Question,Oklahoma City,Oklahoma,Chatbot,Above SLA,27,Chicago/IL
Karel Tinston,Negative,,10/20/2020,Billing Question,Fort Wayne,Indiana,Web,Within SLA,13,Los Angeles/CA
Lotti Parker,Very Negative,,10-08-2020,Billing Question,Baltimore,Maryland,Chatbot,Below SLA,35,Chicago/IL
Cassandry Yanele,Negative,6,10/14/2020,Payments,Oakland,California,Call-Center,Within SLA,13,Baltimore/MD
Joell Curtiss,Negative,,10-04-2020,Payments,Van Nuys,California,Call-Center,Within SLA,8,Los Angeles/CA
Brent Harling,Negative,,10-07-2020,Billing Question,New Orleans,Louisiana,Web,Below SLA,25,Los Angeles/CA
Minna Giraudel,Neutral,,10/18/2020,Billing Question,Pensacola,Florida,Web,Below SLA,36,Los Angeles/CA
Sheila Layson,Neutral,,10-11-2020,Billing Question,Jacksonville,Florida,Email,Within SLA,25,Los Angeles/CA
Dorthy Vasishchev,Very Negative,3,10-09-2020,Billing Question,Colorado Springs,Colorado,Chatbot,Within SLA,38,Baltimore/MD
Wernher O' Kelleher,Negative,,10-11-2020,Service Outage,Fargo,North Dakota,Chatbot,Within SLA,41,Los Angeles/CA
Madelene Gounin,Neutral,6,10-01-2020,Payments,Los Angeles,California,Call-Center,Below SLA,7,Baltimore/MD
Mireille Vickars,Neutral,,10/27/2020,Billing Question,Las Vegas,Nevada,Email,Above SLA,7,Denver/CO
Silvan Asche,Very Negative,,10-06-2020,Billing Question,Minneapolis,Minnesota,Chatbot,Within SLA,35,Los Angeles/CA
Winston Padfield,Negative,,10/20/2020,Payments,San Diego,California,Call-Center,Within SLA,12,Baltimore/MD
Stewart Samworth,Very Positive,,10/18/2020,Billing Question,Huntington Beach,California,Email,Below SLA,17,Chicago/IL
Murvyn Lusty,Negative,,10-12-2020,Billing Question,Amarillo,Texas,Chatbot,Below SLA,35,Chicago/IL
Bernardina Streader,Neutral,,10-07-2020,Billing Question,Grand Rapids,Michigan,Email,Within SLA,36,Los Angeles/CA
Krystyna Bachnic,Neutral,,10/20/2020,Billing Question,Berkeley,California,Email,Within SLA,26,Baltimore/MD
Misti Van't Hoff,Negative,,10/27/2020,Billing Question,Grand Rapids,Michigan,Email,Below SLA,33,Los Angeles/CA
Darci Dibbs,Neutral,6,10/22/2020,Service Outage,Nashville,Tennessee,Chatbot,Within SLA,20,Chicago/IL
Leelah Emblem,Very Positive,,10/24/2020,Billing Question,Phoenix,Arizona,Call-Center,Above SLA,22,Chicago/IL
Lucky Crosthwaite,Positive,,10/22/2020,Billing Question,Winston Salem,North Carolina,Chatbot,Within SLA,19,Baltimore/MD
Phedra Borgars,Negative,,10/18/2020,Billing Question,Hampton,Virginia,Call-Center,Within SLA,14,Los Angeles/CA
Elmo Brisard,Negative,,10-04-2020,Billing Question,Nashville,Tennessee,Chatbot,Within SLA,19,Baltimore/MD
Georgie Showalter,Very Negative,,10/17/2020,Payments,Dallas,Texas,Call-Center,Within SLA,40,Los Angeles/CA
Christoffer Hardiman,Neutral,5,10/23/2020,Billing Question,Lubbock,Texas,Chatbot,Above SLA,45,Los Angeles/CA
Ramon Lowen,Neutral,,10-11-2020,Service Outage,Corpus Christi,Texas,Web,Within SLA,12,Los Angeles/CA
King Ovize,Very Positive,9,10-12-2020,Service Outage,Las Vegas,Nevada,Chatbot,Within SLA,42,Los Angeles/CA
Germain Ludmann,Negative,6,10-08-2020,Billing Question,Aurora,Colorado,Call-Center,Within SLA,36,Baltimore/MD
Joshuah Dincke,Negative,,10/24/2020,Payments,Baltimore,Maryland,Call-Center,Within SLA,5,Los Angeles/CA
Hadleigh Aarons,Very Positive,,10/28/2020,Service Outage,Los Angeles,California,Chatbot,Within SLA,12,Denver/CO
Gayler Beedie,Neutral,,10-02-2020,Billing Question,Washington,District of Columbia,Web,Within SLA,27,Los Angeles/CA
Rhianna Bockler,Neutral,,10/19/2020,Billing Question,Los Angeles,California,Call-Center,Within SLA,35,Baltimore/MD
Marcelle O'Sheils,Negative,6,10/14/2020,Billing Question,Trenton,New Jersey,Chatbot,Within SLA,34,Denver/CO
Curtis Frostdyke,Very Negative,,10/25/2020,Billing Question,Amarillo,Texas,Call-Center,Within SLA,9,Denver/CO
Pail Kremer,Negative,,10/13/2020,Billing Question,San Bernardino,California,Call-Center,Within SLA,29,Los Angeles/CA
Aviva Raylton,Very Negative,,10-03-2020,Billing Question,Milwaukee,Wisconsin,Email,Within SLA,27,Los Angeles/CA
Fitzgerald Ather,Negative,3,10/19/2020,Payments,Saint Petersburg,Florida,Call-Center,Below SLA,44,Chicago/IL
Nicolette Amdohr,Positive,9,10/18/2020,Billing Question,Daytona Beach,Florida,Web,Below SLA,16,Chicago/IL
Maynord Palser,Negative,3,10-10-2020,Payments,Buffalo,New York,Call-Center,Below SLA,45,Los Angeles/CA
Kaila Bodleigh,Neutral,7,10/14/2020,Payments,Birmingham,Alabama,Call-Center,Within SLA,13,Baltimore/MD
Thorndike Rillstone,Negative,4,10/26/2020,Billing Question,San Diego,California,Email,Within SLA,7,Los Angeles/CA
Inglebert Jakubowsky,Neutral,7,10/16/2020,Billing Question,Boston,Massachusetts,Email,Within SLA,20,Chicago/IL
Glynis Dabourne,Very Negative,,10/29/2020,Billing Question,Houston,Texas,Web,Within SLA,8,Denver/CO
Cobb Trunks,Very Positive,10,10/15/2020,Billing Question,Torrance,California,Email,Within SLA,23,Chicago/IL
Caroline Bertouloume,Neutral,,10-08-2020,Billing Question,Las Vegas,Nevada,Email,Within SLA,22,Los Angeles/CA
Allyn Shackel,Neutral,,10-06-2020,Billing Question,San Rafael,California,Call-Center,Above SLA,34,Chicago/IL
Anson Hegg,Negative,,10-06-2020,Service Outage,Evansville,Indiana,Web,Below SLA,22,Los Angeles/CA
Edan Wray,Very Negative,2,10-12-2020,Billing Question,Rochester,New York,Email,Within SLA,9,Chicago/IL
Jenni Fairlamb,Neutral,,10-01-2020,Service Outage,Anderson,Indiana,Email,Within SLA,21,Baltimore/MD
Melina Jaume,Positive,,10-06-2020,Service Outage,Charlotte,North Carolina,Chatbot,Above SLA,29,Baltimore/MD
Diego Wippermann,Neutral,,10-07-2020,Billing Question,Tucson,Arizona,Chatbot,Above SLA,22,Baltimore/MD
Rawley Tuxsell,Negative,6,10/25/2020,Billing Question,North Hollywood,California,Email,Within SLA,40,Baltimore/MD
Lee Sparwell,Very Positive,,10-04-2020,Service Outage,Bethesda,Maryland,Email,Within SLA,15,Los Angeles/CA
Bianka Bendelow,Very Negative,1,10-11-2020,Payments,Tucson,Arizona,Call-Center,Within SLA,28,Baltimore/MD
Tab Matuszyk,Negative,3,10/19/2020,Billing Question,Amarillo,Texas,Web,Below SLA,30,Baltimore/MD
Brinna Snibson,Neutral,,10-01-2020,Payments,Honolulu,Hawaii,Call-Center,Within SLA,19,Chicago/IL
Lucita Marchant,Negative,,10-01-2020,Service Outage,Jamaica,New York,Email,Above SLA,8,Baltimore/MD
Torin Mallison,Very Negative,,10/27/2020,Service Outage,Charlotte,North Carolina,Web,Within SLA,7,Denver/CO
Kylie Nise,Very Negative,2,10/19/2020,Billing Question,San Antonio,Texas,Call-Center,Within SLA,8,Baltimore/MD
Daria Sands-Allan,Neutral,,10/21/2020,Billing Question,Arlington,Texas,Call-Center,Above SLA,27,Los Angeles/CA
Lindy Giovannardi,Very Positive,10,10/29/2020,Service Outage,Washington,District of Columbia,Chatbot,Below SLA,27,Los Angeles/CA
Idalia Lafford,Positive,,10-06-2020,Service Outage,Cleveland,Ohio,Chatbot,Below SLA,26,Los Angeles/CA
Giffie O'Loughane,Positive,,10-11-2020,Billing Question,Birmingham,Alabama,Chatbot,Below SLA,38,Los Angeles/CA
Leela Bulleyn,Negative,6,10/20/2020,Billing Question,Chattanooga,Tennessee,Email,Above SLA,23,Baltimore/MD
Abram Merrifield,Negative,6,10/26/2020,Billing Question,Philadelphia,Pennsylvania,Web,Within SLA,21,Los Angeles/CA
Barney Alven,Positive,,10/30/2020,Billing Question,Washington,District of Columbia,Web,Below SLA,18,Los Angeles/CA
Ariel Blackborn,Neutral,,10-11-2020,Payments,Katy,Texas,Call-Center,Below SLA,38,Baltimore/MD
Ashien Dumelow,Negative,,10-12-2020,Billing Question,Tulsa,Oklahoma,Email,Within SLA,17,Los Angeles/CA
Remington Philcox,Neutral,,10/15/2020,Service Outage,Washington,District of Columbia,Chatbot,Below SLA,34,Los Angeles/CA
Eden Chavrin,Negative,,10/28/2020,Billing Question,Reno,Nevada,Chatbot,Within SLA,25,Denver/CO
Garner Horribine,Very Negative,,10/15/2020,Payments,Mesa,Arizona,Call-Center,Above SLA,10,Baltimore/MD
Jacintha Perfili,Very Positive,,10/26/2020,Billing Question,Cedar Rapids,Iowa,Call-Center,Above SLA,28,Chicago/IL
Alvinia Perl,Very Negative,,10-07-2020,Billing Question,Louisville,Kentucky,Call-Center,Within SLA,24,Los Angeles/CA
Sara Korting,Positive,,10/27/2020,Billing Question,Apache Junction,Arizona,Web,Within SLA,24,Los Angeles/CA
Guthrie MacDougal,Neutral,6,10-01-2020,Payments,Saginaw,Michigan,Call-Center,Within SLA,44,Baltimore/MD
Iggie Palin,Positive,,10/21/2020,Payments,Tulsa,Oklahoma,Call-Center,Within SLA,32,Los Angeles/CA
Patrick Tribell,Very Negative,,10/16/2020,Billing Question,Huntsville,Alabama,Call-Center,Within SLA,31,Baltimore/MD
Mahala Bristo,Neutral,,10/15/2020,Billing Question,Saint Paul,Minnesota,Email,Within SLA,26,Baltimore/MD
Renaud Olifard,Very Negative,1,10-09-2020,Billing Question,Salt Lake City,Utah,Web,Below SLA,11,Denver/CO
Melissa Sargeant,Very Positive,,10/14/2020,Billing Question,Raleigh,North Carolina,Chatbot,Within SLA,36,Chicago/IL
Trace Harvatt,Negative,,10-10-2020,Payments,Sacramento,California,Call-Center,Within SLA,41,Los Angeles/CA
Alva Salvin,Neutral,8,10-10-2020,Service Outage,Springfield,Massachusetts,Web,Below SLA,30,Baltimore/MD
Ferne McMylor,Neutral,,10/26/2020,Billing Question,Saint Louis,Missouri,Web,Above SLA,23,Baltimore/MD
Tad Reasun,Very Positive,10,10/30/2020,Billing Question,New Orleans,Louisiana,Chatbot,Above SLA,39,Los Angeles/CA
Domeniga Barson,Neutral,,10/30/2020,Billing Question,Houston,Texas,Web,Within SLA,42,Los Angeles/CA
Catherin Mendoza,Very Negative,,10-06-2020,Billing Question,Anchorage,Alaska,Web,Below SLA,22,Chicago/IL
Penny Lace,Positive,,10/23/2020,Billing Question,New York City,New York,Email,Within SLA,41,Denver/CO
Janith Gaddesby,Neutral,7,10/26/2020,Service Outage,West Hartford,Connecticut,Chatbot,Below SLA,8,Los Angeles/CA
Danit Rosenschein,Neutral,5,10/14/2020,Payments,Austin,Texas,Call-Center,Above SLA,27,Los Angeles/CA
Florella Emnoney,Very Negative,,10/16/2020,Billing Question,Roanoke,Virginia,Web,Below SLA,28,Los Angeles/CA
Manfred Choupin,Neutral,,10/22/2020,Billing Question,Honolulu,Hawaii,Web,Above SLA,42,Baltimore/MD
Antone Francescone,Neutral,8,10/21/2020,Billing Question,Atlanta,Georgia,Chatbot,Within SLA,36,Baltimore/MD
Denis Peche,Positive,,10-11-2020,Payments,New York City,New York,Call-Center,Within SLA,27,Los Angeles/CA
Dorie Gorst,Negative,4,10/13/2020,Billing Question,Bowie,Maryland,Chatbot,Within SLA,43,Baltimore/MD
Lynn Spurden,Very Positive,,10-10-2020,Billing Question,San Jose,California,Email,Within SLA,29,Denver/CO
Trudi Thirlwell,Very Positive,,10/19/2020,Billing Question,Escondido,California,Chatbot,Within SLA,9,Los Angeles/CA
Andrey Tottie,Negative,,10/24/2020,Billing Question,Boulder,Colorado,Web,Within SLA,10,Baltimore/MD
Minnaminnie Topling,Negative,5,10/14/2020,Payments,Scottsdale,Arizona,Call-Center,Below SLA,22,Baltimore/MD
Lynn Francesc,Negative,,10-01-2020,Payments,Southfield,Michigan,Call-Center,Within SLA,41,Baltimore/MD
Laurella Hrishanok,Negative,3,10-08-2020,Billing Question,Macon,Georgia,Web,Below SLA,38,Chicago/IL
Emalee Sawrey,Neutral,,10-02-2020,Payments,Nashville,Tennessee,Call-Center,Within SLA,20,Los Angeles/CA
Dud Slingsby,Neutral,,10-11-2020,Payments,Lynchburg,Virginia,Call-Center,Within SLA,26,Baltimore/MD
Raffaello Tordiffe,Neutral,6,10/29/2020,Billing Question,Miami,Florida,Chatbot,Within SLA,14,Chicago/IL
Darin Forrestill,Neutral,,10/28/2020,Billing Question,Washington,District of Columbia,Email,Within SLA,37,Los Angeles/CA
Garrek Higgan,Positive,,10-12-2020,Billing Question,Arlington,Texas,Call-Center,Below SLA,42,Los Angeles/CA
Kimble Ivons,Negative,,10-04-2020,Billing Question,Brooklyn,New York,Chatbot,Within SLA,13,Baltimore/MD
Teddy Snookes,Neutral,,10-12-2020,Billing Question,Youngstown,Ohio,Call-Center,Above SLA,41,Los Angeles/CA
Winslow Emmet,Very Positive,,10-08-2020,Billing Question,Kansas City,Missouri,Web,Within SLA,24,Chicago/IL
Pooh Notton,Neutral,7,10-07-2020,Service Outage,Spokane,Washington,Chatbot,Within SLA,22,Chicago/IL
Winfred Filippyev,Very Positive,,10/17/2020,Billing Question,Bronx,New York,Call-Center,Within SLA,43,Denver/CO
Fenelia Danbrook,Positive,8,10/19/2020,Billing Question,Silver Spring,Maryland,Call-Center,Within SLA,8,Los Angeles/CA
Cynde Geffinger,Negative,4,10-06-2020,Payments,Tampa,Florida,Call-Center,Within SLA,31,Baltimore/MD
Sharia Trevarthen,Very Negative,3,10/14/2020,Billing Question,Philadelphia,Pennsylvania,Email,Below SLA,39,Los Angeles/CA
Winfield Alexsandrov,Negative,,10-04-2020,Billing Question,Richmond,Virginia,Call-Center,Below SLA,20,Los Angeles/CA
Ozzie Darwen,Negative,,10/28/2020,Billing Question,Houston,Texas,Call-Center,Below SLA,36,Los Angeles/CA
Ophelia Peters,Negative,,10-07-2020,Service Outage,Fresno,California,Chatbot,Below SLA,18,Los Angeles/CA
Caroline Mumberson,Very Negative,,10-09-2020,Billing Question,Sacramento,California,Email,Below SLA,8,Los Angeles/CA
Denise Hateley,Very Negative,,10/30/2020,Billing Question,Colorado Springs,Colorado,Web,Within SLA,25,Baltimore/MD
Godard Vaneev,Neutral,8,10/13/2020,Billing Question,San Diego,California,Web,Within SLA,16,Denver/CO
Eliza Timcke,Very Positive,,10/15/2020,Service Outage,Peoria,Illinois,Web,Within SLA,31,Denver/CO
Juline Bennett,Very Negative,,10-07-2020,Payments,New York City,New York,Call-Center,Within SLA,44,Los Angeles/CA
Kizzee Blyth,Negative,,10/27/2020,Billing Question,Dallas,Texas,Web,Above SLA,6,Los Angeles/CA
Aryn Ferrario,Very Negative,,10/21/2020,Billing Question,New York City,New York,Email,Below SLA,34,Los Angeles/CA
Kally Jemison,Positive,8,10/19/2020,Billing Question,Brockton,Massachusetts,Web,Within SLA,20,Baltimore/MD
Kordula Ghione,Neutral,5,10/30/2020,Billing Question,Daytona Beach,Florida,Web,Within SLA,27,Chicago/IL
Tilly Jennens,Negative,,10/18/2020,Payments,Colorado Springs,Colorado,Call-Center,Above SLA,18,Chicago/IL
Westbrook Book,Very Positive,,10/28/2020,Billing Question,Bakersfield,California,Call-Center,Below SLA,10,Baltimore/MD
Boniface Sowrah,Very Negative,1,10/18/2020,Billing Question,Ocala,Florida,Chatbot,Below SLA,11,Denver/CO
Teresa Apple,Neutral,7,10/24/2020,Billing Question,Sioux Falls,South Dakota,Web,Above SLA,28,Baltimore/MD
Viva Collete,Very Negative,,10/15/2020,Billing Question,Salt Lake City,Utah,Call-Center,Within SLA,6,Los Angeles/CA
Nanci Bielefeld,Negative,5,10/21/2020,Service Outage,Topeka,Kansas,Email,Below SLA,30,Chicago/IL
Zabrina Twidle,Negative,,10/22/2020,Billing Question,Tulsa,Oklahoma,Call-Center,Within SLA,16,Los Angeles/CA
Constance Gamage,Neutral,,10/20/2020,Payments,Decatur,Georgia,Call-Center,Above SLA,21,Los Angeles/CA
Margaretha Pessler,Very Negative,1,10/18/2020,Billing Question,Merrifield,Virginia,Email,Within SLA,45,Los Angeles/CA
Rozele Wiltshier,Neutral,,10-05-2020,Billing Question,Denton,Texas,Call-Center,Within SLA,7,Baltimore/MD
Tabbie De Vuyst,Very Negative,,10-06-2020,Billing Question,Jamaica,New York,Email,Within SLA,29,Chicago/IL
Delbert Kupper,Negative,5,10-11-2020,Payments,Jamaica,New York,Call-Center,Within SLA,9,Los Angeles/CA
Antonin Tubridy,Negative,,10/22/2020,Billing Question,Tacoma,Washington,Email,Above SLA,35,Baltimore/MD
Lulu Clipsham,Very Negative,,10-09-2020,Billing Question,Columbus,Ohio,Chatbot,Below SLA,27,Baltimore/MD
Nathanil Brinsden,Very Positive,,10/28/2020,Billing Question,Newton,Massachusetts,Call-Center,Below SLA,13,Baltimore/MD
Elfrieda Blackwood,Negative,,10/28/2020,Billing Question,New York City,New York,Chatbot,Below SLA,23,Los Angeles/CA
Ailis Gresty,Neutral,6,10/26/2020,Billing Question,Colorado Springs,Colorado,Chatbot,Above SLA,13,Baltimore/MD
Lock Gammett,Neutral,8,10-02-2020,Billing Question,Cincinnati,Ohio,Email,Below SLA,6,Los Angeles/CA
Lesly Milillo,Neutral,,10/22/2020,Billing Question,Oklahoma City,Oklahoma,Email,Below SLA,38,Los Angeles/CA
Sinclare Kleinstern,Neutral,,10-10-2020,Billing Question,Atlanta,Georgia,Chatbot,Within SLA,10,Los Angeles/CA
Zed Kynd,Very Negative,3,10-06-2020,Billing Question,Tucson,Arizona,Call-Center,Within SLA,28,Los Angeles/CA
Hunter Delaney,Very Negative,1,10-01-2020,Billing Question,Las Vegas,Nevada,Email,Below SLA,21,Chicago/IL
Carce Kaasmann,Negative,,10/16/2020,Billing Question,Shawnee Mission,Kansas,Call-Center,Above SLA,30,Baltimore/MD
Aurilia Norwich,Very Positive,,10/17/2020,Payments,White Plains,New York,Call-Center,Within SLA,38,Chicago/IL
Jamie Hogsden,Very Positive,9,10/28/2020,Billing Question,Denver,Colorado,Web,Within SLA,33,Baltimore/MD
Nickolas Herion,Positive,,10-07-2020,Billing Question,Memphis,Tennessee,Chatbot,Within SLA,27,Los Angeles/CA
Nicolas Shakespeare,Positive,9,10/28/2020,Payments,Birmingham,Alabama,Call-Center,Below SLA,35,Chicago/IL
Dell Blurton,Positive,,10/19/2020,Payments,Buffalo,New York,Call-Center,Above SLA,21,Chicago/IL
Marmaduke Rraundl,Neutral,6,10/19/2020,Billing Question,Amarillo,Texas,Web,Above SLA,13,Baltimore/MD
Danila Dewer,Negative,3,10/21/2020,Billing Question,Boulder,Colorado,Chatbot,Below SLA,18,Baltimore/MD
